"행정구역","2020년_거주자_총인구수","2020년_거주자_연령구간인구수","2020년_거주자_0~4세","2020년_거주자_5~9세","2020년_거주자_10~14세","2020년_거주자_15~19세","2020년_거주자_20~24세","2020년_거주자_25~29세","2020년_거주자_30~34세","2020년_거주자_35~39세","2020년_거주자_40~44세","2020년_거주자_45~49세","2020년_거주자_50~54세","2020년_거주자_55~59세","2020년_거주자_60~64세","2020년_거주자_65~69세","2020년_거주자_70~74세","2020년_거주자_75~79세","2020년_거주자_80~84세","2020년_거주자_85~89세","2020년_거주자_90~94세","2020년_거주자_95~99세","2020년_거주자_100세 이상","2021년_거주자_총인구수","2021년_거주자_연령구간인구수","2021년_거주자_0~4세","2021년_거주자_5~9세","2021년_거주자_10~14세","2021년_거주자_15~19세","2021년_거주자_20~24세","2021년_거주자_25~29세","2021년_거주자_30~34세","2021년_거주자_35~39세","2021년_거주자_40~44세","2021년_거주자_45~49세","2021년_거주자_50~54세","2021년_거주자_55~59세","2021년_거주자_60~64세","2021년_거주자_65~69세","2021년_거주자_70~74세","2021년_거주자_75~79세","2021년_거주자_80~84세","2021년_거주자_85~89세","2021년_거주자_90~94세","2021년_거주자_95~99세","2021년_거주자_100세 이상","2022년_거주자_총인구수","2022년_거주자_연령구간인구수","2022년_거주자_0~4세","2022년_거주자_5~9세","2022년_거주자_10~14세","2022년_거주자_15~19세","2022년_거주자_20~24세","2022년_거주자_25~29세","2022년_거주자_30~34세","2022년_거주자_35~39세","2022년_거주자_40~44세","2022년_거주자_45~49세","2022년_거주자_50~54세","2022년_거주자_55~59세","2022년_거주자_60~64세","2022년_거주자_65~69세","2022년_거주자_70~74세","2022년_거주자_75~79세","2022년_거주자_80~84세","2022년_거주자_85~89세","2022년_거주자_90~94세","2022년_거주자_95~99세","2022년_거주자_100세 이상"
"광주광역시 북구 (2917000000)","428,125","428,125","14,181","19,358","20,079","22,860","31,187","31,145","25,115","30,108","31,392","35,453","36,693","34,570","31,572","21,416","16,940","12,342","7,976","4,008","1,399","288","43","425,570","425,570","13,325","18,660","20,007","21,325","29,814","31,200","25,942","28,408","31,560","33,811","36,917","33,999","33,195","22,593","17,378","12,607","8,704","4,249","1,515","306","55","423,343","423,343","12,651","17,808","19,852","21,026","27,722","30,506","26,753","26,749","32,123","32,872","36,854","34,042","33,660","23,910","17,786","12,692","9,782","4,584","1,592","331","48"
"광주광역시 북구 중흥1동(2917051000)","4,950","4,950","135","95","90","114","330","631","548","410","297","300","326","344","378","308","254","199","114","57","15","5","0","4,723","4,723","132","86","77","79","303","553","540","403","315","296","302","317","366","295","259","189","129","63","18","0","1","4,529","4,529","118","87","79","77","244","508","514","388","304","293","309","293","357","303","237","188","143","67","18","1","1"
"광주광역시 북구 중흥2동(2917052000)","6,779","6,779","94","175","201","274","617","730","418","350","398","477","498","443","531","464","394","341","225","110","30","9","0","6,797","6,797","86","180","205","261","604","802","425","341","375","455","522","436","505","453","422","347","219","118","33","8","0","8,369","8,369","247","339","283","325","665","892","551","534","543","572","648","499","549","495","433","352","261","130","38","12","1"
"광주광역시 북구 중흥3동(2917053000)","4,829","4,829","129","131","131","182","361","527","367","337","357","355","354","324","345","278","272","188","128","47","14","1","1","4,759","4,759","128","118","127","163","370","532","367","313","372","341","352","275","357","266","281","184","144","49","19","0","1","6,472","6,472","261","240","209","229","469","652","570","503","520","472","480","380","381","312","294","236","176","62","23","3","0"
"광주광역시 북구 중앙동(2917055500)","3,179","3,179","42","44","48","75","210","300","203","195","195","189","259","297","304","242","243","140","101","53","31","7","1","3,029","3,029","41","28","41","66","183","286","218","179","174","186","231","275","320","249","210","142","106","55","26","10","3","3,881","3,881","117","106","73","108","238","339","322","262","288","252","312","316","335","269","204","137","116","55","23","8","1"
"광주광역시 북구 임동(2917057000)","7,843","7,843","280","273","287","278","412","523","520","591","589","538","613","608","626","527","509","356","194","79","36","2","2","9,115","9,115","372","332","291","301","509","701","706","693","688","591","716","644","716","599","501","383","235","91","37","8","1","9,101","9,101","361","320","268","280","458","750","773","680","672","578","700","641","735","571","524","376","266","105","36","6","1"
"광주광역시 북구 신안동(2917058000)","11,707","11,707","206","240","292","407","909","1,304","900","784","720","836","925","957","971","672","600","485","311","131","45","10","2","12,288","12,288","274","229","267","402","905","1,419","1,125","843","742","802","984","939","1,028","714","603","478","344","145","32","11","2","12,461","12,461","284","208","253","370","876","1,398","1,265","837","788","797","974","930","1,035","753","637","452","376","185","32","10","1"
"광주광역시 북구 용봉동(2917059000)","38,521","38,521","1,131","1,541","1,676","2,156","3,636","3,584","2,299","2,422","2,497","3,101","3,398","3,286","2,727","1,735","1,362","1,014","573","269","89","22","3","38,398","38,398","1,068","1,502","1,656","1,969","3,547","3,664","2,435","2,331","2,474","2,939","3,407","3,221","2,905","1,820","1,376","1,021","635","312","97","16","3","37,533","37,533","947","1,397","1,563","1,858","3,469","3,520","2,427","2,158","2,470","2,739","3,309","3,151","2,974","1,914","1,429","1,014","731","332","111","17","3"
"광주광역시 북구 운암1동(2917060100)","19,411","19,411","709","1,061","1,083","1,172","1,407","1,147","966","1,315","1,517","1,566","1,579","1,526","1,508","1,128","773","489","270","133","55","6","1","19,308","19,308","629","1,047","1,140","1,097","1,354","1,107","980","1,222","1,541","1,551","1,606","1,436","1,560","1,208","809","526","302","137","44","11","1","18,834","18,834","540","979","1,097","1,125","1,207","1,088","966","1,069","1,502","1,497","1,623","1,423","1,507","1,245","853","576","330","157","39","10","1"
"광주광역시 북구 운암2동(2917060200)","12,330","12,330","225","347","378","558","894","883","687","678","768","888","1,017","1,150","1,187","893","695","543","341","147","34","15","2","11,970","11,970","183","318","379","488","826","857","684","608","752","848","990","1,054","1,209","883","730","565","371","161","45","18","1","11,471","11,471","152","264","390","449","713","812","655","567","727","829","914","1,025","1,166","900","714","546","409","176","53","7","3"
