"행정구역","2023년_거주자_총인구수","2023년_거주자_연령구간인구수","2023년_거주자_0~4세","2023년_거주자_5~9세","2023년_거주자_10~14세","2023년_거주자_15~19세","2023년_거주자_20~24세","2023년_거주자_25~29세","2023년_거주자_30~34세","2023년_거주자_35~39세","2023년_거주자_40~44세","2023년_거주자_45~49세","2023년_거주자_50~54세","2023년_거주자_55~59세","2023년_거주자_60~64세","2023년_거주자_65~69세","2023년_거주자_70~74세","2023년_거주자_75~79세","2023년_거주자_80~84세","2023년_거주자_85~89세","2023년_거주자_90~94세","2023년_거주자_95~99세","2023년_거주자_100세 이상","2024년_거주자_총인구수","2024년_거주자_연령구간인구수","2024년_거주자_0~4세","2024년_거주자_5~9세","2024년_거주자_10~14세","2024년_거주자_15~19세","2024년_거주자_20~24세","2024년_거주자_25~29세","2024년_거주자_30~34세","2024년_거주자_35~39세","2024년_거주자_40~44세","2024년_거주자_45~49세","2024년_거주자_50~54세","2024년_거주자_55~59세","2024년_거주자_60~64세","2024년_거주자_65~69세","2024년_거주자_70~74세","2024년_거주자_75~79세","2024년_거주자_80~84세","2024년_거주자_85~89세","2024년_거주자_90~94세","2024년_거주자_95~99세","2024년_거주자_100세 이상","2025년_거주자_총인구수","2025년_거주자_연령구간인구수","2025년_거주자_0~4세","2025년_거주자_5~9세","2025년_거주자_10~14세","2025년_거주자_15~19세","2025년_거주자_20~24세","2025년_거주자_25~29세","2025년_거주자_30~34세","2025년_거주자_35~39세","2025년_거주자_40~44세","2025년_거주자_45~49세","2025년_거주자_50~54세","2025년_거주자_55~59세","2025년_거주자_60~64세","2025년_거주자_65~69세","2025년_거주자_70~74세","2025년_거주자_75~79세","2025년_거주자_80~84세","2025년_거주자_85~89세","2025년_거주자_90~94세","2025년_거주자_95~99세","2025년_거주자_100세 이상"
"광주광역시 북구 (2917000000)","420,381","420,381","11,708","17,076","19,703","20,253","26,044","29,382","27,225","25,400","32,645","31,448","36,210","34,875","34,099","25,783","17,939","13,669","9,857","4,942","1,714","356","53","422,617","422,617","11,237","16,298","19,774","20,174","24,684","28,341","28,714","25,169","31,700","31,231","36,534","35,639","33,844","28,076","18,605","14,717","10,155","5,330","1,942","401","52","415,638","415,638","10,675","14,965","19,355","20,026","22,463","26,927","28,469","24,312","29,769","31,252","34,902","35,660","32,846","29,865","20,061","15,478","10,389","5,621","2,099","457","47"
"광주광역시 북구 중흥1동(2917051000)","4,390","4,390","104","87","73","76","207","482","502","375","313","258","284","290","348","311","245","204","141","64","26","0","0","4,342","4,342","97","80","63","74","201","513","491","358","305","242","292","277","340","316","251","200","139","73","27","3","0","4,231","4,231","80","72","63","82","158","494","511","319","283","246","281","288","304","318","266","217","147","69","28","5","0"
"광주광역시 북구 중흥2동(2917052000)","8,293","8,293","226","337","288","299","630","864","550","532","542","546","635","540","541","519","398","384","270","139","41","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"광주광역시 북구 중흥3동(2917053000)","6,510","6,510","233","251","216","203","468","607","593","502","562","472","484","422","365","326","287","240","178","72","23","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"광주광역시 북구 중흥동(2917053500)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14,975","14,975","439","585","551","499","1,071","1,420","1,228","1,055","1,082","1,059","1,091","1,035","849","894","677","649","452","238","85","15","1","14,831","14,831","404","562","565","497","1,058","1,311","1,260","1,031","1,049","1,092","1,083","1,063","795","886","717","655","461","244","81","16","1"
"광주광역시 북구 중앙동(2917055500)","3,773","3,773","117","114","84","100","221","323","306","272","296","245","285","313","309","265","193","142","104","58","17","6","3","3,635","3,635","125","114","78","95","186","328","316","256","285","234","264","307","295","244","178","153","99","58","9","8","3","3,467","3,467","125","108","83","88","165","305","348","232","278","234","248","287","255","236","169","147","92","48","11","6","2"
"광주광역시 북구 임동(2917057000)","9,027","9,027","316","324","274","282","427","699","745","655","694","566","680","673","703","598","544","395","291","114","40","6","1","13,821","13,821","720","540","400","462","586","969","1,565","1,278","1,157","872","988","926","922","775","626","495","327","152","50","10","1","14,014","14,014","765","582","398","462","495","910","1,548","1,400","1,161","938","924","991","853","842","652","524","334","163","58","14","0"
"광주광역시 북구 신안동(2917058000)","12,214","12,214","286","210","240","338","792","1,311","1,181","792","849","745","958","952","1,018","809","620","501","367","193","42","9","1","11,913","11,913","271","196","218","335","739","1,141","1,207","766","774","718","942","965","969","873","610","519","393","208","59","8","2","11,821","11,821","271","200","263","335","689","1,091","1,130","746","748","767","912","961","943","891","638","537","395","224","67","12","1"
"광주광역시 북구 용봉동(2917059000)","37,059","37,059","839","1,295","1,561","1,754","3,441","3,399","2,461","1,998","2,466","2,576","3,225","3,151","3,039","2,098","1,382","1,114","769","340","127","21","3","36,496","36,496","726","1,190","1,500","1,767","3,363","3,184","2,488","1,883","2,359","2,422","3,151","3,209","2,976","2,286","1,452","1,200","802","374","133","27","4","35,787","35,787","670","1,040","1,444","1,689","3,251","3,107","2,425","1,802","2,178","2,367","2,946","3,198","2,970","2,441","1,560","1,246","860","417","145","29","2"
"광주광역시 북구 운암1동(2917060100)","18,480","18,480","488","913","1,073","1,069","1,137","1,053","956","967","1,476","1,483","1,547","1,445","1,469","1,299","898","610","362","170","48","17","0","18,213","18,213","423","866","1,078","1,082","1,070","984","917","951","1,383","1,475","1,512","1,465","1,409","1,362","944","650","384","172","72","13","1","17,956","17,956","378","763","1,095","1,089","958","942","913","937","1,321","1,487","1,511","1,425","1,340","1,361","1,044","711","403","191","75","11","1"
