"행정구역","2017년_거주자_총인구수","2017년_거주자_연령구간인구수","2017년_거주자_0~4세","2017년_거주자_5~9세","2017년_거주자_10~14세","2017년_거주자_15~19세","2017년_거주자_20~24세","2017년_거주자_25~29세","2017년_거주자_30~34세","2017년_거주자_35~39세","2017년_거주자_40~44세","2017년_거주자_45~49세","2017년_거주자_50~54세","2017년_거주자_55~59세","2017년_거주자_60~64세","2017년_거주자_65~69세","2017년_거주자_70~74세","2017년_거주자_75~79세","2017년_거주자_80~84세","2017년_거주자_85~89세","2017년_거주자_90~94세","2017년_거주자_95~99세","2017년_거주자_100세 이상","2018년_거주자_총인구수","2018년_거주자_연령구간인구수","2018년_거주자_0~4세","2018년_거주자_5~9세","2018년_거주자_10~14세","2018년_거주자_15~19세","2018년_거주자_20~24세","2018년_거주자_25~29세","2018년_거주자_30~34세","2018년_거주자_35~39세","2018년_거주자_40~44세","2018년_거주자_45~49세","2018년_거주자_50~54세","2018년_거주자_55~59세","2018년_거주자_60~64세","2018년_거주자_65~69세","2018년_거주자_70~74세","2018년_거주자_75~79세","2018년_거주자_80~84세","2018년_거주자_85~89세","2018년_거주자_90~94세","2018년_거주자_95~99세","2018년_거주자_100세 이상","2019년_거주자_총인구수","2019년_거주자_연령구간인구수","2019년_거주자_0~4세","2019년_거주자_5~9세","2019년_거주자_10~14세","2019년_거주자_15~19세","2019년_거주자_20~24세","2019년_거주자_25~29세","2019년_거주자_30~34세","2019년_거주자_35~39세","2019년_거주자_40~44세","2019년_거주자_45~49세","2019년_거주자_50~54세","2019년_거주자_55~59세","2019년_거주자_60~64세","2019년_거주자_65~69세","2019년_거주자_70~74세","2019년_거주자_75~79세","2019년_거주자_80~84세","2019년_거주자_85~89세","2019년_거주자_90~94세","2019년_거주자_95~99세","2019년_거주자_100세 이상"
"광주광역시 동구 (2911000000)","93,826","93,826","3,062","3,074","3,096","4,781","6,677","6,286","5,712","6,287","6,111","7,019","6,865","8,110","7,107","5,937","4,988","4,517","2,541","1,143","404","94","15","92,819","92,819","3,011","3,059","2,966","4,415","6,686","6,291","5,400","6,328","5,744","6,960","6,836","7,805","7,408","5,821","5,146","4,481","2,728","1,207","411","103","13","96,944","96,944","3,167","3,448","3,035","4,428","6,862","6,897","5,792","6,579","6,151","7,142","7,175","7,805","7,778","5,879","5,398","4,554","2,931","1,336","463","116","8"
"광주광역시 동구 충장동(2911052500)","4,285","4,285","49","46","60","135","337","419","287","266","244","297","308","445","404","332","272","190","108","61","23","1","1","4,356","4,356","58","46","57","119","350","449","321","281","250","291","301","423","418","335","265","187","117","63","22","3","0","4,251","4,251","40","40","45","112","342","523","303","262","231","276","320","366","398","324","264","202","115","57","26","5","0"
"광주광역시 동구 동명동(2911054500)","4,109","4,109","72","86","107","191","297","347","240","211","270","296","259","328","325","283","287","252","156","67","26","8","1","3,907","3,907","60","68","104","155","296","362","213","196","195","301","254","287","337","271","277","247","171","79","31","2","1","3,710","3,710","50","83","83","152","284","353","221","170","177","272","247","257","317","267","259","241","158","82","32","4","1"
"광주광역시 동구 계림1동(2911056000)","6,295","6,295","129","132","118","264","419","409","397","391","416","513","510","613","533","444","382","338","171","72","32","11","1","6,099","6,099","102","117","117","225","384","427","343","393","370","474","477","627","565","453","369","335","199","81","29","11","1","5,911","5,911","80","107","102","183","368","387","328","355","347","440","477","617","610","456","384","319","221","86","28","15","1"
"광주광역시 동구 계림2동(2911057000)","9,028","9,028","254","357","381","528","574","523","457","565","647","767","635","764","673","529","513","451","254","108","40","5","3","8,675","8,675","360","403","371","507","557","496","443","617","616","723","598","649","603","499","452","425","231","88","31","4","2","8,139","8,139","335","419","324","446","527","469","415","565","589","652","566","585","551","446","442","425","244","100","30","8","1"
"광주광역시 동구 산수1동(2911059000)","6,537","6,537","132","182","175","362","449","409","358","390","443","506","532","582","496","461","378","368","193","88","27","5","1","6,637","6,637","120","184","166","340","485","423","346","398","396","522","566","600","531","421","409","379","220","94","26","8","3","8,710","8,710","284","280","265","425","610","558","564","574","591","701","702","712","638","484","482","422","258","110","39","11","0"
"광주광역시 동구 산수2동(2911060000)","10,532","10,532","301","380","386","613","786","674","527","618","653","803","838","935","825","632","574","527","278","129","38","15","0","10,781","10,781","282","374","361","595","854","676","536","646","620","856","873","915","921","634","616","524","315","135","43","4","1","10,653","10,653","256","377","354","544","783","685","533","610","634","764","888","934","931","650","636","530","334","161","44","5","0"
"광주광역시 동구 지산1동(2911062000)","4,615","4,615","146","178","169","234","394","364","269","329","341","344","315","354","307","267","219","211","109","45","17","3","0","4,538","4,538","117","158","168","224","404","379","244","301","339","344","311","335","318","267","235","207","123","42","15","7","0","4,363","4,363","90","145","151","209","401","391","219","262","282","338","303","312","329","250","255","202","149","50","19","6","0"
"광주광역시 동구 지산2동(2911063000)","5,309","5,309","133","177","219","328","478","387","268","301","362","454","408","407","336","299","259","266","149","59","13","6","0","4,955","4,955","96","174","189","297","447","393","228","274","312","416","386","387","328","275","257","256","162","57","14","7","0","4,759","4,759","84","162","173","261","471","376","218","223","269","392","389","355","347","265","240","259","173","73","20","9","0"
"광주광역시 동구 서남동(2911065500)","3,209","3,209","58","53","68","117","316","365","256","193","180","218","204","252","240","199","170","159","105","35","19","2","0","3,095","3,095","49","42","68","95","313","352","238","176","158","210","212","240","248","192","180","159","93","50","16","4","0","3,063","3,063","40","49","58","89","350","406","217","166","152","188","197","213","254","186","190","139","100","50","15","3","1"
