"행정구역","2023년_거주자_총인구수","2023년_거주자_연령구간인구수","2023년_거주자_0~4세","2023년_거주자_5~9세","2023년_거주자_10~14세","2023년_거주자_15~19세","2023년_거주자_20~24세","2023년_거주자_25~29세","2023년_거주자_30~34세","2023년_거주자_35~39세","2023년_거주자_40~44세","2023년_거주자_45~49세","2023년_거주자_50~54세","2023년_거주자_55~59세","2023년_거주자_60~64세","2023년_거주자_65~69세","2023년_거주자_70~74세","2023년_거주자_75~79세","2023년_거주자_80~84세","2023년_거주자_85~89세","2023년_거주자_90~94세","2023년_거주자_95~99세","2023년_거주자_100세 이상","2024년_거주자_총인구수","2024년_거주자_연령구간인구수","2024년_거주자_0~4세","2024년_거주자_5~9세","2024년_거주자_10~14세","2024년_거주자_15~19세","2024년_거주자_20~24세","2024년_거주자_25~29세","2024년_거주자_30~34세","2024년_거주자_35~39세","2024년_거주자_40~44세","2024년_거주자_45~49세","2024년_거주자_50~54세","2024년_거주자_55~59세","2024년_거주자_60~64세","2024년_거주자_65~69세","2024년_거주자_70~74세","2024년_거주자_75~79세","2024년_거주자_80~84세","2024년_거주자_85~89세","2024년_거주자_90~94세","2024년_거주자_95~99세","2024년_거주자_100세 이상","2025년_거주자_총인구수","2025년_거주자_연령구간인구수","2025년_거주자_0~4세","2025년_거주자_5~9세","2025년_거주자_10~14세","2025년_거주자_15~19세","2025년_거주자_20~24세","2025년_거주자_25~29세","2025년_거주자_30~34세","2025년_거주자_35~39세","2025년_거주자_40~44세","2025년_거주자_45~49세","2025년_거주자_50~54세","2025년_거주자_55~59세","2025년_거주자_60~64세","2025년_거주자_65~69세","2025년_거주자_70~74세","2025년_거주자_75~79세","2025년_거주자_80~84세","2025년_거주자_85~89세","2025년_거주자_90~94세","2025년_거주자_95~99세","2025년_거주자_100세 이상"
"광주광역시 광산구 신가동(2920063000)","19,128","19,128","639","1,212","1,390","1,428","1,481","1,141","993","1,184","1,869","1,900","2,110","1,425","892","543","345","279","196","77","20","4","0","18,743","18,743","535","1,118","1,309","1,390","1,410","1,151","998","1,066","1,701","1,810","2,162","1,537","964","590","367","315","198","94","23","5","0","18,409","18,409","496","969","1,252","1,396","1,300","1,139","1,026","1,023","1,532","1,782","2,104","1,683","1,005","652","389","333","194","101","28","5","0"
"광주광역시 광산구 운남동(2920063500)","29,428","29,428","785","1,339","1,715","1,775","2,065","2,096","1,754","1,670","2,495","2,653","3,041","2,717","1,953","1,155","728","650","497","242","83","12","3","28,750","28,750","683","1,159","1,629","1,720","1,904","2,045","1,876","1,524","2,263","2,559","2,976","2,785","2,003","1,326","745","683","522","223","106","17","2","28,107","28,107","634","985","1,537","1,690","1,673","2,005","1,905","1,435","2,021","2,501","2,856","2,834","2,112","1,458","832","671","558","262","120","17","1"
"광주광역시 광산구 수완동(2920063700)","75,069","75,069","2,200","5,099","7,125","6,497","5,377","4,282","3,605","4,432","8,218","8,630","7,511","4,553","2,974","1,812","1,176","793","475","219","70","19","2","73,882","73,882","1,963","4,531","6,899","6,592","5,165","4,374","3,648","4,018","7,408","8,449","7,790","5,028","3,066","2,028","1,231","855","518","213","85","18","3","72,807","72,807","1,819","4,003","6,460","6,838","4,940","4,378","3,733","3,805","6,659","8,376","7,893","5,346","3,168","2,296","1,301","917","533","233","88","16","5"
"광주광역시 광산구 하남동(2920064000)","26,819","26,819","1,045","1,578","1,841","1,657","1,686","1,975","1,911","1,949","2,833","2,558","2,391","1,848","1,505","920","439","323","217","93","41","7","2","26,951","26,951","941","1,440","1,791","1,666","1,637","2,063","1,988","1,841","2,638","2,640","2,502","1,929","1,576","1,076","494","343","211","114","48","11","2","26,798","26,798","856","1,305","1,749","1,702","1,558","2,003","2,037","1,757","2,440","2,655","2,524","2,069","1,601","1,211","581","351","202","131","46","18","2"
"광주광역시 광산구 임곡동(2920065000)","1,972","1,972","13","29","45","58","48","58","73","39","74","83","138","193","253","236","173","149","152","109","42","5","2","1,896","1,896","11","28","30","61","44","51","73","41","59","83","128","180","234","257","169","148","141","102","46","9","1","1,838","1,838","7","23","31","62","29","48","66","43","51","67","124","185","219","243","189","155","133","100","43","17","3"
"광주광역시 광산구 동곡동(2920066000)","1,704","1,704","10","15","28","33","57","62","65","49","68","80","119","152","217","193","156","156","141","80","18","5","0","1,633","1,633","9","17","27","28","54","44","55","43","64","80","108","137","208","201","152","160","137","79","28","2","0","1,572","1,572","8","18","22","28","40","52","46","42","54","73","102","134","176","221","158","151","138","71","32","6","0"
"광주광역시 광산구 평동(2920067000)","4,988","4,988","97","91","102","106","201","345","343","286","325","310","414","417","498","455","315","273","220","138","35","15","2","5,041","5,041","127","91","100","111","174","347","379","302","300","307","407","423","480","463","339","278","221","134","44","11","3","4,903","4,903","128","81","99","112","134","304","363","295","303","301","381","431","463","462","356","281","214","135","46","11","3"
"광주광역시 광산구 삼도동(2920068000)","2,127","2,127","7","35","53","56","56","67","79","56","83","93","139","203","278","207","214","155","181","108","49","6","2","2,123","2,123","4","32","45","62","49","73","70","56","83","84","144","200","272","235","202","179","157","123","46","7","0","2,018","2,018","2","25","36","62","35","60","61","50","68","81","123","177","264","244","204","195","142","138","41","10","0"
"광주광역시 광산구 본량동(2920069000)","1,886","1,886","5","14","38","45","40","50","54","52","69","105","157","156","224","185","165","166","181","141","33","5","1","1,807","1,807","10","10","33","39","38","49","40","48","57","87","157","154","203","201","151","162","179","134","40","13","2","1,789","1,789","7","10","25","38","31","42","48","36","65","90","143","158","196","214","154","164","168","137","48","14","1"
"광주광역시 광산구 신창동(2920070000)","33,798","33,798","1,080","1,766","2,310","2,675","2,777","2,486","2,043","2,206","3,334","3,455","3,502","2,366","1,455","851","544","426","287","164","63","6","2","33,603","33,603","1,014","1,637","2,244","2,658","2,638","2,451","2,165","2,058","3,119","3,368","3,616","2,587","1,563","937","555","438","311","157","76","11","0","33,076","33,076","916","1,472","2,170","2,594","2,476","2,421","2,209","1,964","2,806","3,401","3,586","2,768","1,642","1,016","600","480","315","164","67","9","0"
