"행정구역","2023년_거주자_총인구수","2023년_거주자_연령구간인구수","2023년_거주자_0~4세","2023년_거주자_5~9세","2023년_거주자_10~14세","2023년_거주자_15~19세","2023년_거주자_20~24세","2023년_거주자_25~29세","2023년_거주자_30~34세","2023년_거주자_35~39세","2023년_거주자_40~44세","2023년_거주자_45~49세","2023년_거주자_50~54세","2023년_거주자_55~59세","2023년_거주자_60~64세","2023년_거주자_65~69세","2023년_거주자_70~74세","2023년_거주자_75~79세","2023년_거주자_80~84세","2023년_거주자_85~89세","2023년_거주자_90~94세","2023년_거주자_95~99세","2023년_거주자_100세 이상","2024년_거주자_총인구수","2024년_거주자_연령구간인구수","2024년_거주자_0~4세","2024년_거주자_5~9세","2024년_거주자_10~14세","2024년_거주자_15~19세","2024년_거주자_20~24세","2024년_거주자_25~29세","2024년_거주자_30~34세","2024년_거주자_35~39세","2024년_거주자_40~44세","2024년_거주자_45~49세","2024년_거주자_50~54세","2024년_거주자_55~59세","2024년_거주자_60~64세","2024년_거주자_65~69세","2024년_거주자_70~74세","2024년_거주자_75~79세","2024년_거주자_80~84세","2024년_거주자_85~89세","2024년_거주자_90~94세","2024년_거주자_95~99세","2024년_거주자_100세 이상","2025년_거주자_총인구수","2025년_거주자_연령구간인구수","2025년_거주자_0~4세","2025년_거주자_5~9세","2025년_거주자_10~14세","2025년_거주자_15~19세","2025년_거주자_20~24세","2025년_거주자_25~29세","2025년_거주자_30~34세","2025년_거주자_35~39세","2025년_거주자_40~44세","2025년_거주자_45~49세","2025년_거주자_50~54세","2025년_거주자_55~59세","2025년_거주자_60~64세","2025년_거주자_65~69세","2025년_거주자_70~74세","2025년_거주자_75~79세","2025년_거주자_80~84세","2025년_거주자_85~89세","2025년_거주자_90~94세","2025년_거주자_95~99세","2025년_거주자_100세 이상"
"광주광역시 서구 (2914000000)","282,982","282,982","6,454","10,728","13,537","14,603","18,789","21,827","18,043","15,578","21,512","22,214","26,274","23,606","21,507","16,513","11,632","8,934","6,471","3,288","1,175","253","44","278,024","278,024","5,934","10,003","13,174","14,009","17,308","20,976","18,387","14,894","20,343","21,425","25,888","23,894","21,301","17,626","11,845","9,399","6,563","3,449","1,267","303","36","274,081","274,081","5,617","8,997","12,686","13,920","15,561","20,023","18,932","14,610","18,899","21,366","24,680","24,483","20,798","18,717","12,717","9,978","6,738","3,623","1,380","316","40"
"광주광역시 서구 양동(2914057500)","3,208","3,208","34","38","48","62","118","165","137","133","151","176","231","231","347","336","297","310","227","118","42","6","1","2,811","2,811","21","36","44","57","92","118","121","112","131","137","203","212","285","318","252","289","222","106","46","8","1","2,668","2,668","23","34","41","52","69","114","115","93","121","125","179","211","240","318","247","283","227","120","47","8","1"
"광주광역시 서구 양3동(2914059000)","4,254","4,254","109","155","210","141","163","217","224","224","340","317","314","299","372","380","289","258","154","63","22","3","0","4,101","4,101","77","157","190","144","147","186","218","183","297","316","332","302","334","379","314","249","177","67","25","6","1","4,027","4,027","71","134","185","155","133","183","219","173","265","313","309","320","309","385","308","279","172","80","26","8","0"
"광주광역시 서구 농성1동(2914065000)","11,505","11,505","341","248","277","341","656","1,063","961","740","780","716","991","905","815","769","621","575","426","196","68","15","1","11,517","11,517","311","271","289","341","615","1,013","983","737","771","737","975","924","818","781","637","577","436","209","73","18","1","11,313","11,313","291","244","278","299","557","968","1,007","723","767","704","904","950","814","775","658","603","448","229","75","19","0"
"광주광역시 서구 농성2동(2914066000)","4,447","4,447","41","74","83","113","276","423","345","227","262","259","349","384","423","378","261","234","190","91","29","5","0","4,331","4,331","23","59","82","98","249","407","312","217","252","253","369","371","405","406","260","232","193","108","30","5","0","4,189","4,189","19","57","75","95","210","377","342","195","230","256","332","347","387","398","282","253","184","109","36","5","0"
"광주광역시 서구 광천동(2914073000)","6,931","6,931","149","249","240","239","375","420","401","372","483","534","665","677","615","529","368","277","196","93","40","7","2","5,348","5,348","209","210","219","216","272","333","382","388","406","417","493","469","393","346","238","165","109","57","20","6","0","5,024","5,024","192","183","214","208","236","282","360","365","379","401","443","465","377","313","229","177","111","61","19","8","1"
"광주광역시 서구 유덕동(2914074000)","10,445","10,445","261","412","548","583","692","812","701","618","852","895","1,020","943","696","443","328","267","197","134","33","10","0","10,158","10,158","223","340","516","527","646","748","689","567","753","884","1,024","964","696","517","354","293","233","135","36","13","0","9,934","9,934","214","288","464","539","552","731","708","537","703","866","966","987","718","532","365","332","237","137","42","16","0"
"광주광역시 서구 치평동(2914074500)","29,335","29,335","697","1,018","1,308","1,382","2,146","2,798","2,352","1,859","2,228","2,143","2,761","2,627","2,119","1,298","848","736","574","309","108","23","1","28,956","28,956","639","929","1,275","1,323","1,970","2,785","2,473","1,806","2,119","2,049","2,637","2,636","2,211","1,420","875","741","584","320","144","19","1","28,827","28,827","575","883","1,221","1,323","1,773","2,643","2,622","1,804","2,020","2,122","2,469","2,699","2,218","1,611","955","791","585","338","154","20","1"
"광주광역시 서구 상무1동(2914075100)","23,842","23,842","515","780","964","1,225","1,831","2,457","1,865","1,409","1,825","1,821","2,117","1,948","1,625","1,219","893","651","423","185","71","17","1","23,733","23,733","453","744","941","1,148","1,793","2,371","1,963","1,366","1,747","1,794","2,101","1,999","1,669","1,328","901","690","438","186","83","16","2","24,317","24,317","479","689","978","1,153","1,655","2,347","2,068","1,453","1,691","1,904","2,139","2,125","1,711","1,421","972","747","489","192","76","25","3"
"광주광역시 서구 상무2동(2914075200)","22,522","22,522","302","529","663","811","1,550","2,411","1,694","1,154","1,408","1,396","1,815","1,818","1,974","1,639","1,200","957","718","332","120","25","6","22,145","22,145","269","466","619","767","1,373","2,369","1,727","1,094","1,333","1,321","1,760","1,820","1,967","1,726","1,233","1,028","742","363","128","34","6","21,791","21,791","238","437","584","777","1,283","2,188","1,793","1,059","1,221","1,353","1,645","1,819","1,884","1,813","1,322","1,074","735","402","130","30","4"
"광주광역시 서구 화정1동(2914076000)","15,438","15,438","302","391","486","534","1,103","1,717","1,384","1,005","1,080","1,027","1,221","1,097","1,076","935","669","590","456","250","87","23","5","15,360","15,360","280","338","477","507","974","1,658","1,411","969","1,097","1,008","1,195","1,183","1,070","984","695","632","460","283","107","29","3","15,472","15,472","286","332","453","524","899","1,618","1,492","965","1,110","1,019","1,173","1,247","1,044","1,021","727","646","467","289","130","24","6"
"광주광역시 서구 화정2동(2914077000)","19,804","19,804","714","1,233","1,441","1,149","944","1,004","1,026","1,292","2,102","1,744","1,426","1,330","1,324","1,120","836","538","344","163","57","15","2","19,448","19,448","621","1,202","1,437","1,176","833","924","1,009","1,166","2,033","1,806","1,420","1,297","1,259","1,226","815","609","369","173","60","13","0","19,137","19,137","619","1,049","1,443","1,232","755","862","1,018","1,102","1,883","1,889","1,408","1,237","1,181","1,268","899","647","386","174","70","13","2"
"광주광역시 서구 화정3동(2914078000)","9,197","9,197","130","263","390","431","587","696","512","415","583","595","800","783","846","730","534","382","296","147","58","16","3","8,882","8,882","123","225","373","412","531","607","491","368","550","567","749","750","826","797","554","424","300","155","64","12","4","8,596","8,596","101","217","343","414","465","535","477","344","510","589","658","748","792","834","576","448","300","152","73","17","3"
"광주광역시 서구 화정4동(2914079000)","19,471","19,471","623","1,005","950","934","1,076","1,228","1,249","1,244","1,559","1,352","1,449","1,490","1,700","1,444","930","583","371","185","77","19","3","19,265","19,265","594","955","971","886","961","1,160","1,268","1,178","1,532","1,331","1,440","1,479","1,672","1,518","980","643","389","212","70","25","1","18,869","18,869","561","882","978","878","851","1,043","1,278","1,149","1,433","1,332","1,363","1,481","1,476","1,638","1,076","707","422","220","80","18","3"
