"행정구역","2016년_거주자_총인구수","2016년_거주자_연령구간인구수","2016년_거주자_0~4세","2016년_거주자_5~9세","2016년_거주자_10~14세","2016년_거주자_15~19세","2016년_거주자_20~24세","2016년_거주자_25~29세","2016년_거주자_30~34세","2016년_거주자_35~39세","2016년_거주자_40~44세","2016년_거주자_45~49세","2016년_거주자_50~54세","2016년_거주자_55~59세","2016년_거주자_60~64세","2016년_거주자_65~69세","2016년_거주자_70~74세","2016년_거주자_75~79세","2016년_거주자_80~84세","2016년_거주자_85~89세","2016년_거주자_90~94세","2016년_거주자_95~99세","2016년_거주자_100세 이상"
"광주광역시 서구 (2914000000)","307,786","307,786","12,400","14,871","16,667","23,932","24,670","19,218","20,369","23,174","26,228","28,583","24,311","22,707","15,696","12,029","9,134","6,889","4,107","1,945","672","154","30"
"광주광역시 서구 양동(2914057500)","4,554","4,554","73","68","95","192","279","249","271","235","276","312","354","450","389","394","387","278","166","64","16","5","1"
"광주광역시 서구 양3동(2914059000)","5,091","5,091","262","256","176","227","332","266","371","482","357","349","344","458","384","318","208","165","79","45","11","1","0"
"광주광역시 서구 농성1동(2914065000)","8,275","8,275","233","229","251","331","534","560","589","628","633","640","593","643","641","621","480","366","184","86","30","2","1"
"광주광역시 서구 농성2동(2914066000)","5,615","5,615","149","110","152","318","477","477","408","359","373","455","481","516","389","321","269","200","102","42","13","4","0"
"광주광역시 서구 광천동(2914073000)","9,720","9,720","356","344","309","557","730","615","634","737","692","815","873","840","639","536","436","311","176","87","25","5","3"
"광주광역시 서구 유덕동(2914074000)","11,421","11,421","583","698","689","986","872","694","814","1,016","1,077","1,123","827","615","390","332","265","229","124","67","15","4","1"
"광주광역시 서구 치평동(2914074500)","31,090","31,090","1,299","1,415","1,648","2,689","2,857","2,126","2,466","2,385","2,610","3,128","2,584","2,013","1,137","827","711","604","383","143","53","11","1"
"광주광역시 서구 상무1동(2914075100)","23,477","23,477","803","993","1,195","1,681","2,111","1,980","1,824","1,762","1,965","2,112","1,827","1,662","1,148","902","656","425","246","117","51","16","1"
"광주광역시 서구 상무2동(2914075200)","25,743","25,743","785","803","978","1,690","2,216","1,915","1,771","1,690","1,847","2,184","2,135","2,254","1,631","1,368","989","764","417","209","77","15","5"
"광주광역시 서구 화정1동(2914076000)","15,864","15,864","643","557","610","982","1,277","1,333","1,401","1,247","1,170","1,248","1,102","1,165","874","746","588","467","281","127","33","12","1"
"광주광역시 서구 화정2동(2914077000)","20,694","20,694","1,199","1,168","1,010","1,451","1,502","1,225","1,636","1,887","1,623","1,596","1,586","1,618","1,142","816","527","333","219","103","43","9","1"
"광주광역시 서구 화정3동(2914078000)","11,469","11,469","300","453","535","953","986","696","659","701","822","966","941","1,074","767","556","417","308","193","93","39","7","3"
"광주광역시 서구 화정4동(2914079000)","18,790","18,790","628","800","923","1,406","1,604","1,239","1,139","1,194","1,336","1,535","1,621","1,855","1,303","821","541","379","262","146","44","12","2"
"광주광역시 서구 서창동(2914080000)","5,586","5,586","177","181","156","289","406","347","295","280","316","485","566","588","411","298","254","245","156","91","38","5","2"
"광주광역시 서구 금호1동(2914082100)","22,910","22,910","798","964","1,217","1,822","2,081","1,427","1,226","1,407","1,675","2,174","2,099","2,014","1,326","918","678","495","363","152","54","15","5"
"광주광역시 서구 금호2동(2914082400)","29,129","29,129","1,284","1,799","2,395","2,968","2,308","1,359","1,483","2,180","3,050","3,348","2,262","1,622","981","697","542","448","228","114","49","10","2"
"광주광역시 서구 풍암동(2914083000)","40,423","40,423","1,900","2,506","2,979","3,907","2,986","1,981","2,396","3,248","4,388","4,397","2,930","2,212","1,429","1,038","831","637","389","192","63","14","0"
"광주광역시 서구 동천동(2914084000)","17,935","17,935","928","1,527","1,349","1,483","1,112","729","986","1,736","2,018","1,716","1,186","1,108","715","520","355","235","139","67","18","7","1"
