"행정구역","2023년_거주자_총인구수","2023년_거주자_연령구간인구수","2023년_거주자_0~4세","2023년_거주자_5~9세","2023년_거주자_10~14세","2023년_거주자_15~19세","2023년_거주자_20~24세","2023년_거주자_25~29세","2023년_거주자_30~34세","2023년_거주자_35~39세","2023년_거주자_40~44세","2023년_거주자_45~49세","2023년_거주자_50~54세","2023년_거주자_55~59세","2023년_거주자_60~64세","2023년_거주자_65~69세","2023년_거주자_70~74세","2023년_거주자_75~79세","2023년_거주자_80~84세","2023년_거주자_85~89세","2023년_거주자_90~94세","2023년_거주자_95~99세","2023년_거주자_100세 이상","2024년_거주자_총인구수","2024년_거주자_연령구간인구수","2024년_거주자_0~4세","2024년_거주자_5~9세","2024년_거주자_10~14세","2024년_거주자_15~19세","2024년_거주자_20~24세","2024년_거주자_25~29세","2024년_거주자_30~34세","2024년_거주자_35~39세","2024년_거주자_40~44세","2024년_거주자_45~49세","2024년_거주자_50~54세","2024년_거주자_55~59세","2024년_거주자_60~64세","2024년_거주자_65~69세","2024년_거주자_70~74세","2024년_거주자_75~79세","2024년_거주자_80~84세","2024년_거주자_85~89세","2024년_거주자_90~94세","2024년_거주자_95~99세","2024년_거주자_100세 이상","2025년_거주자_총인구수","2025년_거주자_연령구간인구수","2025년_거주자_0~4세","2025년_거주자_5~9세","2025년_거주자_10~14세","2025년_거주자_15~19세","2025년_거주자_20~24세","2025년_거주자_25~29세","2025년_거주자_30~34세","2025년_거주자_35~39세","2025년_거주자_40~44세","2025년_거주자_45~49세","2025년_거주자_50~54세","2025년_거주자_55~59세","2025년_거주자_60~64세","2025년_거주자_65~69세","2025년_거주자_70~74세","2025년_거주자_75~79세","2025년_거주자_80~84세","2025년_거주자_85~89세","2025년_거주자_90~94세","2025년_거주자_95~99세","2025년_거주자_100세 이상"
"광주광역시 남구 (2915500000)","209,137","209,137","5,288","9,457","11,581","10,877","11,775","12,752","11,574","11,620","16,917","16,228","17,021","15,443","16,184","13,685","10,362","8,174","5,900","3,001","1,036","221","41","207,083","207,083","4,725","8,782","11,776","10,816","10,931","12,066","11,713","11,070","16,250","16,154","17,097","15,529","15,689","14,609","10,419","8,814","5,992","3,234","1,104","273","40","207,117","207,117","4,631","8,094","11,809","11,256","10,025","11,513","12,247","10,737","15,606","16,630","16,867","15,794","15,113","15,300","11,108","9,255","6,157","3,369","1,263","299","44"
"광주광역시 남구 양림동(2915551000)","6,605","6,605","101","208","346","355","384","369","261","241","442","452","571","516","527","472","461","393","302","143","55","5","1","6,412","6,412","82","177","324","332","381","351","281","213","387","453","533","541","474","508","420","438","303","143","60","10","1","6,207","6,207","69","141","300","328","336","310","284","202","344","450","501","550","464","503","432","449","316","150","58","18","2"
"광주광역시 남구 방림1동(2915552000)","6,735","6,735","190","291","351","325","329","399","380","414","552","522","560","475","476","441","347","328","228","96","25","5","1","6,552","6,552","164","252","346","342","279","368","372","370","519","514","554","474","459","467","345","357","233","104","26","6","1","6,237","6,237","165","241","303","338","270","308","386","354","462","526","520","455","410","461","335","334","212","124","29","3","1"
"광주광역시 남구 방림2동(2915553000)","8,138","8,138","120","221","305","329","462","523","398","303","475","554","680","665","761","636","592","515","346","166","67","18","2","9,064","9,064","210","280","374","369","470","543","513","455","567","594","722","720","785","680","575","556","364","181","78","25","3","8,997","8,997","194","274","369","402","391","482","520","450","545","603","705","734","760","741","577","571","377","193","81","24","4"
"광주광역시 남구 봉선1동(2915553700)","12,760","12,760","223","444","617","635","760","910","740","642","944","942","1,056","960","1,046","890","665","492","439","241","90","20","4","13,020","13,020","205","444","672","661","709","883","805","613","960","988","1,111","992","1,002","977","641","555","432","258","90","17","5","13,404","13,404","210","435","706","721","689","850","863","613","970","1,063","1,114","1,019","971","998","745","590","433","268","117","22","7"
"광주광역시 남구 봉선2동(2915553800)","27,647","27,647","593","1,871","2,635","2,270","1,554","1,141","943","1,341","2,638","2,845","2,460","1,791","1,655","1,396","908","654","526","301","97","25","3","27,568","27,568","500","1,750","2,679","2,306","1,526","1,118","880","1,266","2,569","2,878","2,503","1,889","1,588","1,511","944","716","491","323","96","32","3","27,391","27,391","485","1,658","2,739","2,332","1,342","1,088","909","1,173","2,523","2,909","2,508","1,898","1,486","1,517","1,071","762","504","328","122","32","5"
"광주광역시 남구 사직동(2915554500)","4,693","4,693","98","119","120","124","227","297","280","272","287","304","361","398","409","374","321","302","264","104","28","4","0","4,503","4,503","70","113","121","112","189","286","256","231","302","275","334","381","412","400","313","289","274","107","32","6","0","4,371","4,371","78","96","111","115","165","268","256","197","292","278","305","385","380","388","316","319","252","128","32","10","0"
"광주광역시 남구 월산동(2915560500)","8,485","8,485","284","305","242","251","393","479","547","549","625","580","646","612","710","611","521","511","364","183","63","7","2","8,412","8,412","253","333","266","237","339","438","580","553","612","559","632","626","668","648","498","540","353","190","69","18","0","10,726","10,726","395","433","377","369","429","553","859","744","807","769","826","806","758","771","555","581","385","196","93","19","1"
"광주광역시 남구 월산4동(2915563000)","8,088","8,088","98","178","234","241","422","593","539","416","556","480","634","695","773","710","543","466","302","148","44","13","3","7,812","7,812","76","131","233","247","360","567","521","400","516","458","585","670","757","733","559","467","300","157","57","15","3","7,542","7,542","60","108","217","222","299","533","510","369","478","472","561","639","711","755","585","489","294","158","64","17","1"
"광주광역시 남구 월산5동(2915564000)","5,940","5,940","54","104","141","151","323","458","354","261","362","341","482","539","655","571","426","345","218","107","36","11","1","5,683","5,683","43","90","135","144","272","411","343","241","326","337","455","485","618","575","440","355","244","128","30","10","1","5,473","5,473","40","73","122","146","248","360","367","215","276","332","407","477","579","577","450","369","260","126","40","7","2"
