"행정구역","2017년_거주자_총인구수","2017년_거주자_연령구간인구수","2017년_거주자_0~4세","2017년_거주자_5~9세","2017년_거주자_10~14세","2017년_거주자_15~19세","2017년_거주자_20~24세","2017년_거주자_25~29세","2017년_거주자_30~34세","2017년_거주자_35~39세","2017년_거주자_40~44세","2017년_거주자_45~49세","2017년_거주자_50~54세","2017년_거주자_55~59세","2017년_거주자_60~64세","2017년_거주자_65~69세","2017년_거주자_70~74세","2017년_거주자_75~79세","2017년_거주자_80~84세","2017년_거주자_85~89세","2017년_거주자_90~94세","2017년_거주자_95~99세","2017년_거주자_100세 이상","2018년_거주자_총인구수","2018년_거주자_연령구간인구수","2018년_거주자_0~4세","2018년_거주자_5~9세","2018년_거주자_10~14세","2018년_거주자_15~19세","2018년_거주자_20~24세","2018년_거주자_25~29세","2018년_거주자_30~34세","2018년_거주자_35~39세","2018년_거주자_40~44세","2018년_거주자_45~49세","2018년_거주자_50~54세","2018년_거주자_55~59세","2018년_거주자_60~64세","2018년_거주자_65~69세","2018년_거주자_70~74세","2018년_거주자_75~79세","2018년_거주자_80~84세","2018년_거주자_85~89세","2018년_거주자_90~94세","2018년_거주자_95~99세","2018년_거주자_100세 이상","2019년_거주자_총인구수","2019년_거주자_연령구간인구수","2019년_거주자_0~4세","2019년_거주자_5~9세","2019년_거주자_10~14세","2019년_거주자_15~19세","2019년_거주자_20~24세","2019년_거주자_25~29세","2019년_거주자_30~34세","2019년_거주자_35~39세","2019년_거주자_40~44세","2019년_거주자_45~49세","2019년_거주자_50~54세","2019년_거주자_55~59세","2019년_거주자_60~64세","2019년_거주자_65~69세","2019년_거주자_70~74세","2019년_거주자_75~79세","2019년_거주자_80~84세","2019년_거주자_85~89세","2019년_거주자_90~94세","2019년_거주자_95~99세","2019년_거주자_100세 이상"
"광주광역시 광산구 (2920000000)","402,389","402,389","20,829","26,396","26,752","31,114","30,508","23,140","25,360","36,175","38,766","39,667","30,818","24,583","15,026","10,633","8,126","7,221","4,380","2,024","680","168","23","402,864","402,864","19,394","25,749","26,104","29,957","30,709","24,552","23,719","35,717","36,971","39,879","32,768","26,013","16,758","10,847","8,665","7,243","4,706","2,193","714","180","26","403,607","403,607","17,951","25,024","25,746","28,524","30,765","25,977","22,985","33,550","36,408","40,624","34,363","26,862","18,688","11,279","9,226","7,300","4,910","2,401","821","176","27"
"광주광역시 광산구 송정1동(2920051500)","10,998","10,998","408","504","606","809","880","618","560","798","994","1,064","868","760","610","516","403","313","182","74","27","4","0","11,045","11,045","344","488","570","745","929","706","526","787","917","1,058","888","824","651","528","440","328","193","89","33","1","0","11,255","11,255","332","476","573","714","960","777","514","768","851","1,098","933","841","714","549","458","344","214","97","42","0","0"
"광주광역시 광산구 송정2동(2920052500)","6,105","6,105","160","154","176","329","434","431","386","409","370","494","497","523","426","427","360","306","130","69","17","6","1","6,670","6,670","206","163","181","307","499","495","454","482","378","535","554","525","485","445","372","312","170","82","17","7","1","6,565","6,565","190","158","159","260","471","506","481","466","381","488","542","540","483","415","422","298","193","79","28","5","0"
"광주광역시 광산구 도산동(2920054000)","15,142","15,142","768","810","885","1,068","1,127","909","1,022","1,282","1,341","1,409","1,140","950","680","556","427","406","223","105","23","10","1","14,949","14,949","745","770","796","1,041","1,095","946","927","1,252","1,229","1,436","1,146","1,036","707","548","479","403","240","110","31","11","1","16,041","16,041","791","815","790","1,039","1,162","1,084","1,096","1,286","1,258","1,532","1,310","1,100","817","579","531","429","252","121","40","9","0"
"광주광역시 광산구 신흥동(2920055000)","4,930","4,930","216","208","225","251","360","298","300","413","364","392","380","405","331","243","225","152","96","42","22","6","1","4,929","4,929","200","216","207","240","347","314","294","390","360","381","381","424","342","255","244","157","97","49","23","6","2","4,833","4,833","182","209","195","245","326","306","279","346","357","388","392","405","359","238","254","172","94","52","26","5","3"
"광주광역시 광산구 어룡동(2920056500)","33,066","33,066","2,307","2,228","1,799","1,994","2,130","1,924","2,749","3,637","2,959","2,830","2,254","2,060","1,465","885","701","568","353","153","55","12","3","33,259","33,259","2,209","2,220","1,826","1,960","2,104","1,965","2,499","3,746","2,949","2,885","2,331","2,109","1,571","977","749","543","355","181","67","10","3","32,764","32,764","2,015","2,213","1,834","1,830","2,060","1,910","2,313","3,521","2,982","2,920","2,366","2,085","1,704","1,018","792","571","363","170","78","16","3"
"광주광역시 광산구 우산동(2920058000)","23,776","23,776","1,037","1,024","983","1,428","1,841","1,536","1,652","1,835","1,774","2,148","2,147","2,076","1,315","907","694","650","438","199","78","13","1","23,928","23,928","1,036","1,008","923","1,307","1,810","1,611","1,614","1,888","1,682","2,086","2,193","2,143","1,527","921","724","670","487","198","80","19","1","24,059","24,059","925","1,022","906","1,190","1,790","1,780","1,611","1,802","1,679","2,005","2,204","2,134","1,694","1,007","777","680","506","235","89","22","1"
"광주광역시 광산구 월곡1동(2920060000)","12,670","12,670","429","528","683","956","1,138","935","769","847","933","1,196","1,256","1,132","678","456","259","219","171","64","19","2","0","12,216","12,216","389","483","614","843","1,115","929","718","787","811","1,128","1,258","1,118","778","459","285","225","179","72","22","3","0","11,780","11,780","323","475","540","767","1,020","996","651","724","730","1,091","1,244","1,076","861","449","318","230","172","82","28","2","1"
"광주광역시 광산구 월곡2동(2920061000)","18,015","18,015","731","956","1,136","1,438","1,519","1,064","1,015","1,368","1,614","1,944","1,577","1,379","831","497","371","298","159","84","24","9","1","17,338","17,338","625","891","1,058","1,368","1,432","1,126","896","1,230","1,458","1,828","1,646","1,374","897","517","401","299","169","88","27","8","0","16,852","16,852","545","819","995","1,282","1,366","1,143","794","1,112","1,353","1,788","1,656","1,401","1,007","543","418","308","190","94","34","4","0"
"광주광역시 광산구 비아동(2920062000)","6,880","6,880","329","366","387","450","452","378","443","555","669","689","604","523","297","215","169","179","114","47","12","2","0","7,136","7,136","334","373","403","450","454","422","397","588","656","728","655","568","341","214","188","184","115","55","7","4","0","7,244","7,244","312","391","368","436","472","432","374","562","656","759","710","565","366","245","216","170","127","69","9","4","1"
