"행정구역","2017년_거주자_총인구수","2017년_거주자_연령구간인구수","2017년_거주자_0~4세","2017년_거주자_5~9세","2017년_거주자_10~14세","2017년_거주자_15~19세","2017년_거주자_20~24세","2017년_거주자_25~29세","2017년_거주자_30~34세","2017년_거주자_35~39세","2017년_거주자_40~44세","2017년_거주자_45~49세","2017년_거주자_50~54세","2017년_거주자_55~59세","2017년_거주자_60~64세","2017년_거주자_65~69세","2017년_거주자_70~74세","2017년_거주자_75~79세","2017년_거주자_80~84세","2017년_거주자_85~89세","2017년_거주자_90~94세","2017년_거주자_95~99세","2017년_거주자_100세 이상","2018년_거주자_총인구수","2018년_거주자_연령구간인구수","2018년_거주자_0~4세","2018년_거주자_5~9세","2018년_거주자_10~14세","2018년_거주자_15~19세","2018년_거주자_20~24세","2018년_거주자_25~29세","2018년_거주자_30~34세","2018년_거주자_35~39세","2018년_거주자_40~44세","2018년_거주자_45~49세","2018년_거주자_50~54세","2018년_거주자_55~59세","2018년_거주자_60~64세","2018년_거주자_65~69세","2018년_거주자_70~74세","2018년_거주자_75~79세","2018년_거주자_80~84세","2018년_거주자_85~89세","2018년_거주자_90~94세","2018년_거주자_95~99세","2018년_거주자_100세 이상","2019년_거주자_총인구수","2019년_거주자_연령구간인구수","2019년_거주자_0~4세","2019년_거주자_5~9세","2019년_거주자_10~14세","2019년_거주자_15~19세","2019년_거주자_20~24세","2019년_거주자_25~29세","2019년_거주자_30~34세","2019년_거주자_35~39세","2019년_거주자_40~44세","2019년_거주자_45~49세","2019년_거주자_50~54세","2019년_거주자_55~59세","2019년_거주자_60~64세","2019년_거주자_65~69세","2019년_거주자_70~74세","2019년_거주자_75~79세","2019년_거주자_80~84세","2019년_거주자_85~89세","2019년_거주자_90~94세","2019년_거주자_95~99세","2019년_거주자_100세 이상"
"광주광역시 남구 (2915500000)","216,974","216,974","8,172","10,500","10,887","14,603","16,035","12,684","12,248","15,985","16,485","18,099","16,542","17,518","13,824","11,088","8,451","7,105","4,013","1,900","656","157","22","214,837","214,837","7,674","10,351","10,827","13,505","15,670","12,972","11,327","15,897","15,900","17,787","16,687","17,198","14,722","11,051","8,884","7,186","4,308","2,018","673","179","21","216,549","216,549","7,439","10,833","10,937","12,700","15,270","13,364","11,259","15,737","16,130","17,968","16,855","16,638","15,627","11,092","9,558","7,300","4,608","2,226","821","161","26"
"광주광역시 남구 양림동(2915551000)","7,891","7,891","291","404","368","449","502","425","364","574","586","635","577","587","514","504","401","363","219","104","15","7","2","7,670","7,670","260","399","372","412","481","411","320","557","551","610","545","576","533","504","421","352","225","105","24","11","1","7,424","7,424","195","375","362","402","455","418","289","463","531","603","576","531","579","450","453","358","219","119","36","9","1"
"광주광역시 남구 방림1동(2915552000)","7,512","7,512","287","403","339","437","512","433","492","628","591","553","546","565","487","424","329","265","144","49","25","2","1","7,405","7,405","263","389","336","422","489","437","431","605","581","569","546","554","512","404","347","287","151","58","18","5","1","7,160","7,160","232","355","333","371","474","421","389","555","555","555","537","493","545","393","394","292","169","70","23","3","1"
"광주광역시 남구 방림2동(2915553000)","10,205","10,205","349","301","392","660","747","634","541","688","694","757","780","885","731","678","545","435","227","118","36","7","0","9,672","9,672","284","308","336","585","732","592","469","649","619","742","729","862","741","631","571","404","243","125","42","8","0","9,280","9,280","222","316","318","502","680","596","452","553","554","720","711","831","738","610","586","432","248","156","44","9","2"
"광주광역시 남구 봉선1동(2915553700)","16,035","16,035","541","678","732","1,045","1,275","1,012","950","1,114","1,200","1,354","1,272","1,337","1,013","776","587","547","327","191","69","12","3","15,712","15,712","484","629","699","945","1,212","1,063","873","1,059","1,166","1,343","1,211","1,332","1,107","771","593","569","364","203","68","17","4","14,903","14,903","390","606","658","841","1,100","1,036","742","982","1,088","1,275","1,224","1,193","1,148","754","643","542","375","215","74","14","3"
"광주광역시 남구 봉선2동(2915553800)","30,199","30,199","1,101","2,084","2,488","2,808","2,327","1,429","1,271","1,966","2,722","3,093","2,320","2,126","1,516","934","715","633","388","189","76","10","3","30,023","30,023","1,058","2,032","2,509","2,666","2,257","1,449","1,186","2,043","2,564","3,102","2,376","2,073","1,622","993","737","643","416","202","78","15","2","29,447","29,447","982","2,065","2,479","2,505","2,128","1,420","1,095","1,943","2,533","3,021","2,417","1,933","1,710","1,037","794","611","449","206","97","19","3"
"광주광역시 남구 사직동(2915554500)","5,711","5,711","160","147","131","218","354","390","380","385","365","446","474","489","439","395","370","310","167","65","20","4","2","5,733","5,733","175","170","159","195","344","394","367","397","358","422","462","481","468","376","365","332","171","78","16","3","0","5,442","5,442","170","156","136","173","301","353","336","369","348","393","426","472","481","357","358","341","183","66","20","2","1"
"광주광역시 남구 월산동(2915560500)","9,504","9,504","230","237","233","411","623","576","518","624","657","701","722","873","731","725","641","548","276","137","34","7","0","8,633","8,633","202","226","212","357","530","562","433","561","571","608","702","748","724","619","603","514","287","128","38","7","1","7,772","7,772","179","222","181","284","472","488","378","496","499","533","627","665","676","540","592","482","275","127","48","8","0"
"광주광역시 남구 월산4동(2915563000)","9,592","9,592","209","304","335","537","663","651","598","633","643","775","784","917","762","627","487","357","197","77","30","6","0","9,305","9,305","204","274","307","456","617","640","539","636","582","715","793","919","808","597","528","359","214","72","37","7","1","9,019","9,019","151","255","305","382","591","652","513","601","534","716","755","826","837","616","532","390","224","95","37","7","0"
"광주광역시 남구 월산5동(2915564000)","7,120","7,120","139","181","184","358","573","482","425","488","440","552","592","754","614","462","377","276","141","55","18","7","2","6,957","6,957","134","173","161","294","554","491","390","475","396","520","579","741","645","475","411","276","149","64","21","7","1","6,730","6,730","111","173","147","243","513","473","378","420","399","462","573","723","660","487","406","282","174","73","24","7","2"
