"행정구역","2020년_거주자_총인구수","2020년_거주자_연령구간인구수","2020년_거주자_0~4세","2020년_거주자_5~9세","2020년_거주자_10~14세","2020년_거주자_15~19세","2020년_거주자_20~24세","2020년_거주자_25~29세","2020년_거주자_30~34세","2020년_거주자_35~39세","2020년_거주자_40~44세","2020년_거주자_45~49세","2020년_거주자_50~54세","2020년_거주자_55~59세","2020년_거주자_60~64세","2020년_거주자_65~69세","2020년_거주자_70~74세","2020년_거주자_75~79세","2020년_거주자_80~84세","2020년_거주자_85~89세","2020년_거주자_90~94세","2020년_거주자_95~99세","2020년_거주자_100세 이상","2021년_거주자_총인구수","2021년_거주자_연령구간인구수","2021년_거주자_0~4세","2021년_거주자_5~9세","2021년_거주자_10~14세","2021년_거주자_15~19세","2021년_거주자_20~24세","2021년_거주자_25~29세","2021년_거주자_30~34세","2021년_거주자_35~39세","2021년_거주자_40~44세","2021년_거주자_45~49세","2021년_거주자_50~54세","2021년_거주자_55~59세","2021년_거주자_60~64세","2021년_거주자_65~69세","2021년_거주자_70~74세","2021년_거주자_75~79세","2021년_거주자_80~84세","2021년_거주자_85~89세","2021년_거주자_90~94세","2021년_거주자_95~99세","2021년_거주자_100세 이상","2022년_거주자_총인구수","2022년_거주자_연령구간인구수","2022년_거주자_0~4세","2022년_거주자_5~9세","2022년_거주자_10~14세","2022년_거주자_15~19세","2022년_거주자_20~24세","2022년_거주자_25~29세","2022년_거주자_30~34세","2022년_거주자_35~39세","2022년_거주자_40~44세","2022년_거주자_45~49세","2022년_거주자_50~54세","2022년_거주자_55~59세","2022년_거주자_60~64세","2022년_거주자_65~69세","2022년_거주자_70~74세","2022년_거주자_75~79세","2022년_거주자_80~84세","2022년_거주자_85~89세","2022년_거주자_90~94세","2022년_거주자_95~99세","2022년_거주자_100세 이상"
"광주광역시 광산구 (2920000000)","404,012","404,012","15,951","23,958","25,939","26,530","31,064","27,529","23,077","31,412","36,463","39,834","35,810","27,618","20,717","12,301","9,693","7,277","5,066","2,595","947","201","30","403,093","403,093","14,500","23,038","25,784","25,369","30,192","28,106","23,755","29,075","36,161","38,630","37,442","28,741","22,486","13,290","9,850","7,259","5,460","2,734","986","206","29","399,762","399,762","13,288","21,104","25,236","25,530","28,375","28,259","24,547","26,371","35,806","37,493","38,486","29,802","23,578","14,436","10,038","7,332","5,902","2,947","993","210","29"
"광주광역시 광산구 송정1동(2920051500)","11,066","11,066","268","429","549","634","941","806","549","652","819","1,065","978","849","741","559","488","375","234","86","39","4","1","10,783","10,783","246","405","488","576","868","810","543","601","767","991","993","864","761","606","479","394","239","107","36","9","0","10,524","10,524","203","366","453","549","826","814","564","526","714","919","1,004","867","788","621","489","378","268","131","33","11","0"
"광주광역시 광산구 송정2동(2920052500)","6,491","6,491","181","148","164","243","431","536","461","427","368","474","539","543","485","424","433","307","206","87","31","3","0","6,423","6,423","182","139","144","213","431","568","454","405","387","429","539","536","497","417","424","313","215","91","36","3","0","6,299","6,299","178","130","131","191","393","537","478","388","391","382","539","533","487","414","402","329","255","102","36","1","2"
"광주광역시 광산구 도산동(2920054000)","15,703","15,703","684","807","763","894","1,148","1,077","1,021","1,187","1,291","1,449","1,328","1,106","877","600","567","455","263","127","45","13","1","15,234","15,234","610","731","750","804","1,081","1,027","976","1,066","1,251","1,365","1,331","1,120","926","673","566","452","321","124","46","13","1","14,835","14,835","539","687","702","799","987","1,016","971","987","1,215","1,251","1,366","1,136","948","712","554","427","341","144","40","12","1"
"광주광역시 광산구 신흥동(2920055000)","4,668","4,668","145","186","199","231","318","301","242","299","355","376","405","368","339","278","253","183","103","51","27","5","4","4,575","4,575","127","173","178","210","278","284","252","273","335","366","402","375","365","286","278","188","114","58","23","7","3","4,416","4,416","101","157","168","215","250","301","247","233","306","346","399","347","380","303","242","196","127","70","19","5","4"
"광주광역시 광산구 어룡동(2920056500)","32,848","32,848","1,805","2,194","1,918","1,743","2,080","1,946","2,198","3,309","3,132","2,935","2,451","2,083","1,846","1,168","770","591","407","180","70","19","3","32,955","32,955","1,535","2,245","1,998","1,700","2,038","1,960","2,243","3,006","3,188","2,983","2,629","2,084","1,944","1,255","811","588","443","216","68","18","3","33,248","33,248","1,492","2,134","2,108","1,754","1,876","2,001","2,261","2,742","3,371","2,960","2,789","2,182","1,952","1,388","842","592","468","236","76","23","1"
"광주광역시 광산구 우산동(2920058000)","27,483","27,483","1,075","1,102","940","1,147","1,945","2,282","2,096","2,155","1,925","2,125","2,460","2,415","2,074","1,221","884","708","514","284","109","21","1","28,822","28,822","1,209","1,119","1,032","1,092","1,903","2,337","2,309","2,279","2,094","2,089","2,600","2,463","2,316","1,373","927","683","558","305","112","22","0","29,499","29,499","1,280","1,127","1,093","1,080","1,738","2,247","2,459","2,283","2,285","2,078","2,629","2,573","2,376","1,509","990","697","584","336","111","23","1"
"광주광역시 광산구 월곡1동(2920060000)","11,300","11,300","277","444","478","686","989","941","630","651","684","993","1,156","1,103","898","493","341","233","161","101","35","6","0","10,831","10,831","252","407","474","600","859","952","625","607","681","846","1,061","1,097","940","548","346","228","160","106","38","4","0","10,268","10,268","233","353","448","555","723","842","677","517","659","758","973","1,073","955","582","383","210","178","106","34","9","0"
"광주광역시 광산구 월곡2동(2920061000)","16,196","16,196","422","722","955","1,099","1,320","1,169","770","1,003","1,240","1,636","1,652","1,387","1,117","600","462","308","203","93","32","6","0","15,548","15,548","350","618","881","1,005","1,243","1,145","797","878","1,133","1,516","1,646","1,378","1,151","660","471","315","226","96","34","4","1","14,915","14,915","310","535","798","971","1,124","1,099","795","760","1,067","1,359","1,628","1,334","1,215","735","455","336","253","102","32","7","0"
"광주광역시 광산구 비아동(2920062000)","7,254","7,254","288","385","373","397","464","433","372","535","616","742","737","605","404","272","237","164","126","77","25","2","0","7,448","7,448","258","424","386","399","450","401","399","488","665","752","781","639","465","284","238","166","145","81","24","3","0","7,485","7,485","220","396","405","390","449","441","373","459","623","751","798","669","526","301","224","184","157","82","33","4","0"
"광주광역시 광산구 첨단1동(2920062400)","27,615","27,615","839","1,181","1,561","1,958","2,680","2,499","1,721","1,678","1,907","2,523","2,929","2,561","1,624","652","456","366","262","142","61","14","1","27,419","27,419","847","1,137","1,483","1,870","2,450","2,491","1,871","1,622","1,874","2,330","2,953","2,600","1,822","742","460","359","280","149","66","12","1","27,076","27,076","851","1,023","1,411","1,798","2,199","2,477","1,999","1,594","1,835","2,194","2,857","2,621","1,967","881","489","346","306","160","55","12","1"
