"행정구역","2020년_거주자_총인구수","2020년_거주자_연령구간인구수","2020년_거주자_0~4세","2020년_거주자_5~9세","2020년_거주자_10~14세","2020년_거주자_15~19세","2020년_거주자_20~24세","2020년_거주자_25~29세","2020년_거주자_30~34세","2020년_거주자_35~39세","2020년_거주자_40~44세","2020년_거주자_45~49세","2020년_거주자_50~54세","2020년_거주자_55~59세","2020년_거주자_60~64세","2020년_거주자_65~69세","2020년_거주자_70~74세","2020년_거주자_75~79세","2020년_거주자_80~84세","2020년_거주자_85~89세","2020년_거주자_90~94세","2020년_거주자_95~99세","2020년_거주자_100세 이상","2021년_거주자_총인구수","2021년_거주자_연령구간인구수","2021년_거주자_0~4세","2021년_거주자_5~9세","2021년_거주자_10~14세","2021년_거주자_15~19세","2021년_거주자_20~24세","2021년_거주자_25~29세","2021년_거주자_30~34세","2021년_거주자_35~39세","2021년_거주자_40~44세","2021년_거주자_45~49세","2021년_거주자_50~54세","2021년_거주자_55~59세","2021년_거주자_60~64세","2021년_거주자_65~69세","2021년_거주자_70~74세","2021년_거주자_75~79세","2021년_거주자_80~84세","2021년_거주자_85~89세","2021년_거주자_90~94세","2021년_거주자_95~99세","2021년_거주자_100세 이상","2022년_거주자_총인구수","2022년_거주자_연령구간인구수","2022년_거주자_0~4세","2022년_거주자_5~9세","2022년_거주자_10~14세","2022년_거주자_15~19세","2022년_거주자_20~24세","2022년_거주자_25~29세","2022년_거주자_30~34세","2022년_거주자_35~39세","2022년_거주자_40~44세","2022년_거주자_45~49세","2022년_거주자_50~54세","2022년_거주자_55~59세","2022년_거주자_60~64세","2022년_거주자_65~69세","2022년_거주자_70~74세","2022년_거주자_75~79세","2022년_거주자_80~84세","2022년_거주자_85~89세","2022년_거주자_90~94세","2022년_거주자_95~99세","2022년_거주자_100세 이상"
"광주광역시 서구 (2914000000)","294,943","294,943","8,720","13,046","14,529","16,992","22,919","22,311","16,578","19,858","22,325","26,093","26,428","22,691","20,294","13,800","11,046","8,123","5,316","2,656","967","210","41","290,141","290,141","7,814","12,354","14,226","15,599","21,894","22,580","16,660","18,184","22,034","24,676","26,689","22,527","21,092","14,570","11,230","8,181","5,731","2,863","987","212","38","286,298","286,298","7,207","11,534","13,884","15,143","20,202","22,261","17,475","16,646","21,786","23,497","26,668","22,749","21,356","15,313","11,471","8,403","6,338","3,051","1,054","218","42"
"광주광역시 서구 양동(2914057500)","3,907","3,907","53","46","67","85","200","224","174","172","185","253","288","345","419","333","400","337","200","93","27","5","1","3,654","3,654","51","46","53","90","156","224","160","159","178","218","269","292","404","326","355","326","210","103","27","6","1","3,393","3,393","45","38","48","77","140","183","142","141","162","185","246","261","378","323","322","330","221","109","34","8","0"
"광주광역시 서구 양3동(2914059000)","4,718","4,718","168","223","194","167","226","277","258","347","374","342","339","337","422","347","298","204","121","49","22","3","0","4,547","4,547","159","211","194","139","196","265","228","300","401","313","319","315","428","357","304","201","139","55","21","2","0","4,400","4,400","133","179","209","139","169","255","221","257","354","317","321","314","405","361","291","237","156","58","19","5","0"
"광주광역시 서구 농성1동(2914065000)","10,984","10,984","320","263","287","376","765","920","751","787","691","825","886","840","809","717","689","497","340","150","57","12","2","10,922","10,922","304","262","280","344","686","950","793","729","715","780","897","837","821","744","673","517","356","168","50","14","2","11,197","11,197","315","273","286","342","676","1,004","882","742","741","720","955","849","827","724","641","550","415","183","57","12","3"
"광주광역시 서구 농성2동(2914066000)","5,044","5,044","77","101","114","159","383","491","320","286","296","364","401","467","450","330","300","243","155","80","24","2","1","4,842","4,842","69","93","106","123","329","480","345","260","302","312","388","427","460","340","286","238","170","78","30","5","1","4,640","4,640","52","77","91","125","293","478","373","243","272","289","365","402","430","370","256","225","188","78","29","4","0"
"광주광역시 서구 광천동(2914073000)","8,510","8,510","240","337","264","361","549","561","454","568","616","697","786","783","705","515","415","313","202","97","32","12","3","7,991","7,991","216","312","260","295","497","521","423","516","577","624","777","717","703","510","413","288","203","95","36","6","2","7,554","7,554","170","279","271","269","427","492","417","433","537","580","760","663","706","505","391","291","214","99","44","5","1"
"광주광역시 서구 유덕동(2914074000)","10,714","10,714","362","518","594","706","822","847","664","771","874","1,014","1,005","747","562","369","291","246","190","89","37","5","1","10,955","10,955","322","497","595","631","833","888","714","731","898","996","1,077","842","609","403","333","248","208","86","37","7","0","10,649","10,649","302","463","580","583","751","840","722","660","858","944","1,072","874","649","412","333","248","212","111","29","6","0"
"광주광역시 서구 치평동(2914074500)","30,503","30,503","931","1,264","1,397","1,713","2,685","2,776","2,130","2,253","2,264","2,645","2,949","2,419","1,740","991","838","692","483","249","66","17","1","30,210","30,210","872","1,236","1,362","1,511","2,531","2,965","2,050","2,094","2,265","2,514","2,964","2,432","1,934","1,084","830","667","531","275","71","19","3","29,350","29,350","787","1,076","1,344","1,411","2,235","2,868","2,167","1,910","2,222","2,297","2,849","2,504","1,997","1,177","836","697","577","297","78","20","1"
"광주광역시 서구 상무1동(2914075100)","24,898","24,898","737","943","1,128","1,359","2,195","2,507","1,792","1,769","1,853","2,111","2,186","1,766","1,517","1,061","832","579","316","164","67","14","2","24,677","24,677","647","913","1,037","1,321","2,094","2,614","1,772","1,662","1,823","2,022","2,205","1,787","1,625","1,106","851","601","342","174","67","12","2","24,147","24,147","594","829","1,008","1,306","1,943","2,531","1,824","1,507","1,786","1,969","2,083","1,872","1,624","1,127","899","604","379","176","73","11","2"
"광주광역시 서구 상무2동(2914075200)","23,854","23,854","515","690","750","981","2,026","2,328","1,475","1,449","1,470","1,739","2,019","2,016","1,955","1,434","1,151","889","582","266","96","17","6","23,724","23,724","456","660","739","915","1,933","2,475","1,586","1,340","1,473","1,652","1,932","1,956","2,013","1,465","1,219","865","643","277","106","14","5","22,901","22,901","381","582","691","841","1,763","2,436","1,632","1,190","1,443","1,496","1,890","1,850","1,972","1,506","1,236","845","706","309","109","18","5"
