"행정구역","2023년_거주자_총인구수","2023년_거주자_연령구간인구수","2023년_거주자_0~4세","2023년_거주자_5~9세","2023년_거주자_10~14세","2023년_거주자_15~19세","2023년_거주자_20~24세","2023년_거주자_25~29세","2023년_거주자_30~34세","2023년_거주자_35~39세","2023년_거주자_40~44세","2023년_거주자_45~49세","2023년_거주자_50~54세","2023년_거주자_55~59세","2023년_거주자_60~64세","2023년_거주자_65~69세","2023년_거주자_70~74세","2023년_거주자_75~79세","2023년_거주자_80~84세","2023년_거주자_85~89세","2023년_거주자_90~94세","2023년_거주자_95~99세","2023년_거주자_100세 이상","2024년_거주자_총인구수","2024년_거주자_연령구간인구수","2024년_거주자_0~4세","2024년_거주자_5~9세","2024년_거주자_10~14세","2024년_거주자_15~19세","2024년_거주자_20~24세","2024년_거주자_25~29세","2024년_거주자_30~34세","2024년_거주자_35~39세","2024년_거주자_40~44세","2024년_거주자_45~49세","2024년_거주자_50~54세","2024년_거주자_55~59세","2024년_거주자_60~64세","2024년_거주자_65~69세","2024년_거주자_70~74세","2024년_거주자_75~79세","2024년_거주자_80~84세","2024년_거주자_85~89세","2024년_거주자_90~94세","2024년_거주자_95~99세","2024년_거주자_100세 이상","2025년_거주자_총인구수","2025년_거주자_연령구간인구수","2025년_거주자_0~4세","2025년_거주자_5~9세","2025년_거주자_10~14세","2025년_거주자_15~19세","2025년_거주자_20~24세","2025년_거주자_25~29세","2025년_거주자_30~34세","2025년_거주자_35~39세","2025년_거주자_40~44세","2025년_거주자_45~49세","2025년_거주자_50~54세","2025년_거주자_55~59세","2025년_거주자_60~64세","2025년_거주자_65~69세","2025년_거주자_70~74세","2025년_거주자_75~79세","2025년_거주자_80~84세","2025년_거주자_85~89세","2025년_거주자_90~94세","2025년_거주자_95~99세","2025년_거주자_100세 이상"
"광주광역시 동구 (2911000000)","106,434","106,434","3,354","4,097","3,717","3,741","6,872","8,011","7,460","6,821","7,539","6,821","8,076","7,683","8,167","7,419","5,603","4,667","3,771","1,851","629","111","24","105,536","105,536","3,152","3,877","3,842","3,600","6,505","7,764","7,524","6,663","7,294","6,819","7,866","7,761","7,954","7,677","5,630","4,979","3,805","1,969","690","150","15","104,403","104,403","3,060","3,527","3,941","3,680","5,903","7,463","7,703","6,475","7,155","6,808","7,544","7,795","7,568","7,736","6,001","5,134","3,845","2,156","726","168","15"
"광주광역시 동구 충장동(2911052500)","5,317","5,317","39","27","36","91","617","1,086","625","303","240","232","295","306","356","352","277","197","141","67","26","4","0","5,495","5,495","48","24","44","91","606","1,164","684","303","243","253","283","323","328","347","281","217","148","73","25","10","0","5,901","5,901","58","30","42","99","562","1,186","844","333","293","269","337","374","324","357","294","223","158","83","27","8","0"
"광주광역시 동구 동명동(2911054500)","3,513","3,513","26","41","72","103","355","382","289","150","178","185","237","214","231","262","231","223","191","110","27","5","1","3,406","3,406","19","37","73","93","375","373","268","158","164","169","231","229","205","252","217","224","190","86","36","7","0","3,360","3,360","17","31","64","83","352","391","286","160","155","185","220","218","183","253","201","231","189","92","40","9","0"
"광주광역시 동구 계림1동(2911056000)","10,259","10,259","462","412","248","304","536","721","869","870","765","651","847","744","782","703","505","366","271","142","47","12","2","9,907","9,907","466","388","257","272","434","676","881","857","758","602","766","716","760","718","490","396","267","148","42","10","3","9,792","9,792","506","362","276","258","385","609","878","839","752","614","708","734","722","722","510","431","285","144","45","9","3"
"광주광역시 동구 계림2동(2911057000)","13,314","13,314","747","948","585","520","642","661","1,123","1,230","1,206","946","970","724","760","652","538","443","384","171","54","8","2","13,349","13,349","707","969","629","494","606","611","1,059","1,239","1,226","969","952","765","770","690","527","464","400","188","65","17","2","13,184","13,184","670","921","701","485","536","583","1,001","1,187","1,254","995","916","762","719","697","562","481","406","205","81","18","4"
"광주광역시 동구 산수1동(2911059000)","7,918","7,918","174","224","316","307","450","553","482","433","547","540","642","668","669","565","429","387","329","142","51","9","1","7,739","7,739","181","199","293","321","372","544","489","423","502","541","612","682","629","566","433","405","322","145","65","12","3","7,566","7,566","186","177","295","325","333","487","516","394","473","533","593","637","609","565","471","411","318","166","57","18","2"
"광주광역시 동구 산수2동(2911060000)","9,783","9,783","218","324","334","339","474","634","543","477","626","615","805","849","853","848","585","544","438","198","68","9","2","9,522","9,522","202","291","344","325","438","530","539","454","584","624","724","821","841","870","610","584","434","224","72","11","0","9,291","9,291","207","248","357","332","373","473","511","464","554","600","680","828","794","841","671","583","450","240","70","14","1"
"광주광역시 동구 지산1동(2911062000)","4,074","4,074","41","80","127","174","527","410","223","172","216","260","311","277","303","272","203","195","171","85","22","4","1","3,943","3,943","40","60","139","161","550","362","214","144","206","251","290","259","272","286","203","211","170","92","26","6","1","3,816","3,816","36","47","120","168","525","352","217","123","188","234","270","265","253","282","229","198","173","104","23","9","0"
"광주광역시 동구 지산2동(2911063000)","4,243","4,243","49","104","163","159","442","371","232","141","222","260","358","325","320","289","237","219","199","121","27","3","2","4,117","4,117","33","94","153","156","402","377","224","132","196","238","353","341","303","317","236","208","199","120","28","6","1","4,027","4,027","29","84","135","153","394","384","200","125","187","226","349","338","286","321","242","218","192","122","33","9","0"
"광주광역시 동구 서남동(2911065500)","2,989","2,989","17","47","55","60","540","493","226","121","117","140","166","157","187","185","154","126","111","55","22","8","2","3,198","3,198","8","37","54","56","585","541","261","140","124","144","183","192","189","207","135","148","107","54","25","7","1","3,350","3,350","7","25","60","77","607","586","299","139","140","145","181","196","186","205","150","156","95","66","21","7","2"
